DATE_INSERTED,ONSALEFROM,ONSALETO,SUPPLIER,PARTNERID,SUPPLIERTARIFFCODE,TARIFFNAME,FIXEDRATEPERIOD,TEST,MIN_CONSUMPTION,MAX_CONSUMPTION,FUELTYPE,PRODUCTTYPE,PROFILECLASS,AMR,Renewable Energy,RENEWABLE_ACQUISITION,COTTARIFF,ISUPLIFTALLOWED,ISFITSINCLUDED,DELPHISTART,DELPHIEND,TARIFFID,DNO_EXITZONE,MTC,LLFC,FIRST_SSD,LAST_SSD,Description of % adjustment column,% adjustment column,Description of £s adjustment column,£s adjustment column,STARTDATE,ENDDATE,PAYMENTTYPE,CURRENCY,Rate1_A_Start,Rate1_A_PER_kWh,Rate1_B_Start,Rate1_B_PER_kWh,Rate1_C_Start,Rate1_C_PER_kWh,Rate1_D_Start,Rate1_D_PER_kWh,Rate2_A_Start,Rate2_A_PER_kWh,Rate2_B_Start,Rate2_B_PER_kWh,Rate2_C_Start,Rate2_C_PER_kWh,Rate2_D_Start,Rate2_D_PER_kWh,Rate3_A_Start,Rate3_A_PER_kWh,Rate3_B_Start,Rate3_B_PER_kWh,Rate3_C_Start,Rate3_C_PER_kWh,Rate3_D_Start,Rate3_D_PER_kWh,Rate4_A_Start,Rate4_A_PER_kWh,Rate4_B_Start,Rate4_B_PER_kWh,Rate4_C_Start,Rate4_C_PER_kWh,Rate4_D_Start,Rate4_D_PER_kWh,Rate5_A_Start,Rate5_A_PER_kWh,Rate5_B_Start,Rate5_B_PER_kWh,Rate5_C_Start,Rate5_C_PER_kWh,Rate5_D_Start,Rate5_D_PER_kWh,Rate6_A_Start,Rate6_A_PER_kWh,Rate6_B_Start,Rate6_B_PER_kWh,Rate6_C_Start,Rate6_C_PER_kWh,Rate6_D_Start,Rate6_D_PER_kWh,Rate7_A_Start,Rate7_A_PER_kWh,Rate7_B_Start,Rate7_B_PER_kWh,Rate7_C_Start,Rate7_C_PER_kWh,Rate7_D_Start,Rate7_D_PER_kWh,Rate8_A_Start,Rate8_A_PER_kWh,Rate8_B_Start,Rate8_B_PER_kWh,Rate8_C_Start,Rate8_C_PER_kWh,Rate8_D_Start,Rate8_D_PER_kWh,R9_A_Start,R9_A_PER_kWh,R9_B_Start,R9_B_PER_kWh,R9_C_Start,R9_C_PER_kWh,R9_D_Start,R9_D_PER_kWh,DYLY_STDG_CHRG
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,BA43661EA10FA1G0,,12,,0,25000,Gas,F,Gas,Yes,No,,,Yes,,,,BA,EA1,,,01/08/2019 00:00,01/11/2019 00:00,,,,,01/08/2019 00:00,,1,GBP,,2.4861,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,BA43661EA10FFA1G0,,12,,0,25000,Gas,FF,Gas,Yes,No,,,Yes,,,,BA,EA1,,,01/08/2019 00:00,01/11/2019 00:00,,,,,01/08/2019 00:00,,1,GBP,,2.5165,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,BA43661EA125FA1G0,,12,,25000,50000,Gas,F,Gas,Yes,No,,,Yes,,,,BA,EA1,,,01/08/2019 00:00,01/11/2019 00:00,,,,,01/08/2019 00:00,,1,GBP,,2.8027,,3.8887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,BA43661EA125FFA1G0,,12,,25000,50000,Gas,FF,Gas,Yes,No,,,Yes,,,,BA,EA1,,,01/08/2019 00:00,01/11/2019 00:00,,,,,01/08/2019 00:00,,1,GBP,,2.8337,,3.9197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,BA43661EA150FA1G0,,12,,50000,73200,Gas,F,Gas,Yes,No,,,Yes,,,,BA,EA1,,,01/08/2019 00:00,01/11/2019 00:00,,,,,01/08/2019 00:00,,1,GBP,,2.9701,,3.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,BA43661EA150FFA1G0,,12,,50000,73200,Gas,FF,Gas,Yes,No,,,Yes,,,,BA,EA1,,,01/08/2019 00:00,01/11/2019 00:00,,,,,01/08/2019 00:00,,1,GBP,,2.9988,,3.6537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,BA43661EA173FA1G0,,12,,73200,100000,Gas,F,Gas,Yes,No,,,Yes,,,,BA,EA1,,,01/08/2019 00:00,01/11/2019 00:00,,,,,01/08/2019 00:00,,1,GBP,,2.7921,,3.2579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,BA43661EA173FFA1G0,,12,,73200,100000,Gas,FF,Gas,Yes,No,,,Yes,,,,BA,EA1,,,01/08/2019 00:00,01/11/2019 00:00,,,,,01/08/2019 00:00,,1,GBP,,2.8137,,3.2795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,BA43661EA1100FA1G0,,12,,100000,125000,Gas,F,Gas,Yes,No,,,Yes,,,,BA,EA1,,,01/08/2019 00:00,01/11/2019 00:00,,,,,01/08/2019 00:00,,1,GBP,,2.8049,,3.1635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
15/07/2019 00:00,15/07/2019 00:00,,Corona Energy,,BA43661EA1100FFA1G0,,12,,100000,125000,Gas,FF,Gas,Yes,No,,,Yes,,,,BA,EA1,,,01/08/2019 00:00,01/11/2019 00:00,,,,,01/08/2019 00:00,,1,GBP,,2.8253,,3.1839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05
