EXIT ZONE,NETWORK,STANDING CHARGE,UNIT RATE,MIN AQ,MAX AQ,CONTRACT LENGTH,EARLIEST START DATE,MAX START DATE
EM3,East Midlands,0,2.609,73269,110000,12,13/03/2018,28/02/2019
EM4,East Midlands,0,2.609,73269,110000,12,13/03/2018,28/02/2019
NE1,North of England,0,2.705,73269,110000,12,13/03/2018,28/02/2019
NE2,North of England,0,2.705,73269,110000,12,13/03/2018,28/02/2019
NE3,North of England,0,2.705,73269,110000,12,13/03/2018,28/02/2019
NO1,North of England,0,2.709,73269,110000,12,13/03/2018,28/02/2019
NO2,North of England,0,2.709,73269,110000,12,13/03/2018,28/02/2019
NT1,London,0,2.751,73269,110000,12,13/03/2018,28/02/2019
NT2,London,0,2.751,73269,110000,12,13/03/2018,28/02/2019
NT3,London,0,2.751,73269,110000,12,13/03/2018,28/02/2019
NW1,North West,0,2.713,73269,110000,12,13/03/2018,28/02/2019
NW2,North West,0,2.713,73269,110000,12,13/03/2018,28/02/2019
SC1,Scotland,0,2.738,73269,110000,12,13/03/2018,28/02/2019
SC2,Scotland,0,2.738,73269,110000,12,13/03/2018,28/02/2019
SC4,Scotland,0,2.738,73269,110000,12,13/03/2018,28/02/2019
SE1,South of England,0,2.714,73269,110000,12,13/03/2018,28/02/2019
SE2,South of England,0,2.714,73269,110000,12,13/03/2018,28/02/2019
SO1,South of England,0,2.739,73269,110000,12,13/03/2018,28/02/2019
SO2,South of England,0,2.739,73269,110000,12,13/03/2018,28/02/2019
SW1,South West,0,2.836,73269,110000,12,13/03/2018,28/02/2019
SW2,South West,0,2.836,73269,110000,12,13/03/2018,28/02/2019
SW3,South West,0,2.836,73269,110000,12,13/03/2018,28/02/2019
WM1,West Midlands,0,2.731,73269,110000,12,13/03/2018,28/02/2019
WM2,West Midlands,0,2.731,73269,110000,12,13/03/2018,28/02/2019
WM3,West Midlands,0,2.731,73269,110000,12,13/03/2018,28/02/2019
WA1,Wales North,0,2.775,73269,110000,12,13/03/2018,28/02/2019
WA2,Wales South,0,2.698,73269,110000,12,13/03/2018,28/02/2019
EA1,East of England,0,2.541,110001,145000,12,13/03/2018,28/02/2019
EA2,East of England,0,2.541,110001,145000,12,13/03/2018,28/02/2019
EA3,East of England,0,2.541,110001,145000,12,13/03/2018,28/02/2019
EA4,East of England,0,2.541,110001,145000,12,13/03/2018,28/02/2019
EM1,East Midlands,0,2.549,110001,145000,12,13/03/2018,28/02/2019
EM2,East Midlands,0,2.549,110001,145000,12,13/03/2018,28/02/2019
EM3,East Midlands,0,2.549,110001,145000,12,13/03/2018,28/02/2019
EM4,East Midlands,0,2.549,110001,145000,12,13/03/2018,28/02/2019
NE1,North of England,0,2.643,110001,145000,12,13/03/2018,28/02/2019
NE2,North of England,0,2.643,110001,145000,12,13/03/2018,28/02/2019
NE3,North of England,0,2.643,110001,145000,12,13/03/2018,28/02/2019
NO1,North of England,0,2.643,110001,145000,12,13/03/2018,28/02/2019
NO2,North of England,0,2.643,110001,145000,12,13/03/2018,28/02/2019
NT1,London,0,2.682,110001,145000,12,13/03/2018,28/02/2019
NT2,London,0,2.682,110001,145000,12,13/03/2018,28/02/2019
NT3,London,0,2.682,110001,145000,12,13/03/2018,28/02/2019
NW1,North West,0,2.658,110001,145000,12,13/03/2018,28/02/2019
NW2,North West,0,2.658,110001,145000,12,13/03/2018,28/02/2019
SC1,Scotland,0,2.678,110001,145000,12,13/03/2018,28/02/2019
SC2,Scotland,0,2.678,110001,145000,12,13/03/2018,28/02/2019
SC4,Scotland,0,2.678,110001,145000,12,13/03/2018,28/02/2019
SE1,South of England,0,2.65,110001,145000,12,13/03/2018,28/02/2019
SE2,South of England,0,2.65,110001,145000,12,13/03/2018,28/02/2019
SO1,South of England,0,2.676,110001,145000,12,13/03/2018,28/02/2019
SO2,South of England,0,2.676,110001,145000,12,13/03/2018,28/02/2019
SW1,South West,0,2.775,110001,145000,12,13/03/2018,28/02/2019
SW2,South West,0,2.775,110001,145000,12,13/03/2018,28/02/2019
SW3,South West,0,2.775,110001,145000,12,13/03/2018,28/02/2019
WM1,West Midlands,0,2.671,110001,145000,12,13/03/2018,28/02/2019
WM2,West Midlands,0,2.671,110001,145000,12,13/03/2018,28/02/2019
WM3,West Midlands,0,2.671,110001,145000,12,13/03/2018,28/02/2019
WA1,Wales North,0,2.714,110001,145000,12,13/03/2018,28/02/2019
WA2,Wales South,0,2.635,110001,145000,12,13/03/2018,28/02/2019
EA1,East of England,0,2.507,145001,220000,12,13/03/2018,28/02/2019
EA2,East of England,0,2.507,145001,220000,12,13/03/2018,28/02/2019
EA3,East of England,0,2.507,145001,220000,12,13/03/2018,28/02/2019
EA4,East of England,0,2.507,145001,220000,12,13/03/2018,28/02/2019
EM1,East Midlands,0,2.518,145001,220000,12,13/03/2018,28/02/2019
EM2,East Midlands,0,2.518,145001,220000,12,13/03/2018,28/02/2019
EM3,East Midlands,0,2.518,145001,220000,12,13/03/2018,28/02/2019
EM4,East Midlands,0,2.518,145001,220000,12,13/03/2018,28/02/2019
NE1,North of England,0,2.608,145001,220000,12,13/03/2018,28/02/2019
NE2,North of England,0,2.608,145001,220000,12,13/03/2018,28/02/2019
NE3,North of England,0,2.608,145001,220000,12,13/03/2018,28/02/2019
NO1,North of England,0,2.61,145001,220000,12,13/03/2018,28/02/2019
