Product Name,MTC,Region,Profiles,Contract Length,Min,Max,Valid From,Valid To,Units (p/kWh),Day Units (p/kWh),Night Units (p/kWh),Eve/We Units (p/kWh),Weekday Units (p/kWh),Winter Eve Units (p/kWh)
EELC P3 2R (Day/Night) 60 months,205 656 657 660 661 807 808 809 811 812,10,3,60,100001,150000,07/10/2019,06/10/2024,,15.18,11.61,,,
EELC P3 2R (Day/Night) 60 months,205 656 657 660 661 807 808 809 811 812,10,3,60,150001,200000,07/10/2019,06/10/2024,,15.16,11.59,,,
EELC P3 2R (Day/Night) 60 months,205 656 657 660 661 807 808 809 811 812,10,3,60,200001,250000,07/10/2019,06/10/2024,,15.15,11.58,,,
EELC P3 2R (Day/Night) 60 months,205 656 657 660 661 807 808 809 811 812,10,3,60,250001,293000,07/10/2019,06/10/2024,,15.15,11.58,,,
EELC P3 2R (Eve/We) 12 months,136 137 180 181 636 637 680 681,10,3,12,5000,10000,07/10/2019,06/10/2020,,,,14.13,16.48,
EELC P3 2R (Eve/We) 12 months,136 137 180 181 636 637 680 681,10,3,12,10001,20000,07/10/2019,06/10/2020,,,,13.03,15.38,
EELC P3 2R (Eve/We) 12 months,136 137 180 181 636 637 680 681,10,3,12,20001,30000,07/10/2019,06/10/2020,,,,12.58,14.93,
EELC P3 2R (Eve/We) 12 months,136 137 180 181 636 637 680 681,10,3,12,30001,40000,07/10/2019,06/10/2020,,,,12.49,14.84,
EELC P3 2R (Eve/We) 12 months,136 137 180 181 636 637 680 681,10,3,12,40001,50000,07/10/2019,06/10/2020,,,,12.39,14.74,
EELC P3 2R (Eve/We) 12 months,136 137 180 181 636 637 680 681,10,3,12,50001,60000,07/10/2019,06/10/2020,,,,12.36,14.71,
EELC P3 2R (Eve/We) 12 months,136 137 180 181 636 637 680 681,10,3,12,60001,73200,07/10/2019,06/10/2020,,,,12.34,14.69,
EELC P3 2R (Eve/We) 12 months,136 137 180 181 636 637 680 681,10,3,12,73201,100000,07/10/2019,06/10/2020,,,,12.31,14.66,
EELC P3 2R (Eve/We) 12 months,136 137 180 181 636 637 680 681,10,3,12,100001,150000,07/10/2019,06/10/2020,,,,12.29,14.64,
EELC P3 2R (Eve/We) 12 months,136 137 180 181 636 637 680 681,10,3,12,150001,200000,07/10/2019,06/10/2020,,,,12.27,14.62,
EELC P3 2R (Eve/We) 12 months,136 137 180 181 636 637 680 681,10,3,12,200001,250000,07/10/2019,06/10/2020,,,,12.26,14.61,
EELC P3 2R (Eve/We) 12 months,136 137 180 181 636 637 680 681,10,3,12,250001,293000,07/10/2019,06/10/2020,,,,12.25,14.6,
